Type,Name,Resource
Wiki,RevStats Ingestion,https://wiki.veevadev.com/spaces/AP/pages/941646210/RevStats+Ingestion
Wiki,Revstats Infra Manual,https://wiki.veevadev.com/spaces/AP/pages/899253386/RevStats+Infrastructure+Manual
Wiki,Appstats & Revstats Wiki Home,https://wiki.veevadev.com/spaces/VQ/pages/451445679/AppStats+RevStats
Wiki,Automation Setup and Guideline,https://wiki.veevadev.com/spaces/VQ/pages/580589311/AppStats+QA+-+Automation+Setup+and+Guidelines
Misc,Revstats Help Page,https://dev.revstats.veeva.com/help
Misc,rev gitlab repo,https://gitlab.veevadev.com/veevaappstats/app-stats/-/tree/develop/rev?ref_type=heads
